currency,storeId,customerId
SEK,Electronics,04cffc2e-4fae-4fb2-8e28-e6b7afc1f1df
USD,Electronics,c44deffb-15c2-4f20-871d-b446d258ad79
USD,Electronics,e9bb0a8a-362f-406c-af4d-fca85188023c
USD,Electronics,3a30ddcd-d904-4f14-86ba-beddfc9f3a46
USD,Electronics,b796c55d-29f2-48df-8d54-b7c09abc9f5c
USD,Electronics,241c9fcf-afb5-4261-afb4-aec1caffac24
USD,Electronics,a480a2ff-c912-4756-a5d9-df8a7e691bca
USD,Electronics,2900f584-c703-4642-a457-4e9e93b4dfd6
USD,Electronics,244cbc51-a352-4434-8dd1-e997f392eba0
USD,Electronics,5dd2367b-4b1b-4770-9140-28686c489434
SEK,Electronics,bb6539ee-5ff4-4df9-971a-14f555ec652e
USD,Electronics,ba49e29f-04bf-4c00-bb76-009be0d1eb46
SEK,Electronics,2203f52c-113b-4bac-bc9c-5014b680b1b4
USD,Electronics,7fd29a25-f98f-475e-a478-df1288c1831e
USD,Electronics,4ff6dfa1-0070-4f75-a49e-ae9643a18982
USD,Electronics,c2dd8edd-975f-454f-b544-681e01efa4fd
USD,Electronics,5ace9393-f062-466d-8022-3a92d0c34b58
USD,Electronics,39e37c36-d118-4b30-94ac-7f9d07645e0b
SEK,Electronics,68c1324c-6658-439b-9d7e-00316d98a993
USD,Electronics,45b049ed-87e3-4e7a-bc8a-f50c5c0a6b4e
USD,Electronics,2e38cc9f-5406-4d0f-aba8-08480f6fac6a
USD,Electronics,8925b9ec-9588-431a-b3e9-c3879437fe54
USD,Electronics,c1767481-60e3-408d-a01e-2cdcc1d1b881
USD,Electronics,d3d84892-e556-4c91-a632-71509ccc7021
USD,Electronics,357b66eb-553b-4144-b4bf-c7c05878826b
USD,Electronics,82feeee4-3d6c-44b9-a97f-30a03a4b5ace
USD,Electronics,acb8cc8c-6582-42c6-b1dd-1c1ded5cc4ee
USD,Electronics,346e20f5-ed67-46b0-8dc0-188396ff725c
USD,Electronics,0ffdf61d-0c5b-4fd0-949e-6bcedd36d3c1
USD,Electronics,a0156100-00e3-43e4-839d-ffad9c2bc6dd
USD,Electronics,345eac8f-631b-45f9-8084-5bbdfff39e90
USD,Electronics,8f560cca-e99d-4f69-96b3-37417e8fca6b
USD,Electronics,b8f04445-7ae0-47b7-9e04-6b0695671b12
USD,Electronics,b8f04445-7ae0-47b7-9e04-6b0695671b12
USD,Electronics,2a6d2311-f1be-4d19-bb94-9d6cf167d539
SEK,Electronics,0a529247-0c73-41fd-80ea-ae38b351819d
